MONTH;REGION;COUNTRYOFRESIDENCE;ARRIVALS;HOTELNIGHTS
2020-01-01;Eastern Switzerland;Egypt;12;71
2020-01-01;Eastern Switzerland;Other North African countries;9;21
2020-01-01;Eastern Switzerland;South Africa;30;79
2020-01-01;Eastern Switzerland;Other African countries;51;114
2020-01-01;Eastern Switzerland;Bahrain;4;40
2020-01-01;Eastern Switzerland;Israel;71;158
2020-01-01;Eastern Switzerland;India;78;485
2020-01-01;Eastern Switzerland;Japan;51;137
2020-01-01;Eastern Switzerland;Other South-East Asian countries;57;131
2020-01-01;Eastern Switzerland;Qatar;2;4
2020-01-01;Eastern Switzerland;Kuwait;5;30
2020-01-01;Eastern Switzerland;Australia;87;234
2020-01-01;Eastern Switzerland;China;188;631
2020-01-01;Eastern Switzerland;Hong Kong;31;43
2020-01-01;Eastern Switzerland;Indonesia;33;37
2020-01-01;Eastern Switzerland;South Korea;33;96
2020-01-01;Eastern Switzerland;Malaysia;18;39
2020-01-01;Eastern Switzerland;Philippines;1;4
2020-01-01;Eastern Switzerland;New Zealand, Oceania;9;37
2020-01-01;Eastern Switzerland;Singapore;41;105
2020-01-01;Eastern Switzerland;Oman;21;105
2020-01-01;Eastern Switzerland;Taiwan (Chinese Taipei);38;62
2020-01-01;Eastern Switzerland;Thailand;24;123
2020-01-01;Eastern Switzerland;Other West Asian countries;24;126
2020-01-01;Eastern Switzerland;Estonia;9;16
2020-01-01;Eastern Switzerland;Latvia;5;6
2020-01-01;Eastern Switzerland;Lithuania;22;54
2020-01-01;Eastern Switzerland;Saudi Arabia;37;307
2020-01-01;Eastern Switzerland;United Arab Emirates;59;148
2020-01-01;Eastern Switzerland;Croatia;47;205
2020-01-01;Eastern Switzerland;Romania;82;311
2020-01-01;Eastern Switzerland;Russia;484;2463
2020-01-01;Eastern Switzerland;Slovakia;51;185
2020-01-01;Eastern Switzerland;Slovenia;48;78
2020-01-01;Eastern Switzerland;Czechia;153;361
2020-01-01;Eastern Switzerland;Ukraine;118;437
2020-01-01;Eastern Switzerland;Serbia;27;49
2020-01-01;Zurich Region;Switzerland;89543;145691
2020-01-01;Zurich Region;Germany;28209;50113
2020-01-01;Zurich Region;France;6700;10659
2020-01-01;Zurich Region;Italy;5772;11308
2020-01-01;Zurich Region;Austria;3974;6635
2020-01-01;Zurich Region;United Kingdom;12068;21063
2020-01-01;Zurich Region;Irland;1029;1861
2020-01-01;Zurich Region;Netherlands;3406;5528
2020-01-01;Zurich Region;Belgium;2423;3723
2020-01-01;Zurich Region;Luxembourg;618;1035
2020-01-01;Zurich Region;Denmark;848;1371
2020-01-01;Zurich Region;Sweden;1423;2359
2020-01-01;Zurich Region;Norway;534;994
2020-01-01;Zurich Region;Finland;677;1418
2020-01-01;Zurich Region;Spain;4568;7581
2020-01-01;Zurich Region;Portugal;1233;2695
2020-01-01;Zurich Region;Greece;938;2382
2020-01-01;Zurich Region;Turkey;1455;2621
2020-01-01;Zurich Region;Other European countries;1184;2393
2020-01-01;Zurich Region;Liechtenstein;244;325
2020-01-01;Zurich Region;Iceland;75;140
2020-01-01;Zurich Region;Poland;1516;3726
2020-01-01;Zurich Region;Hungary;537;1280
2020-01-01;Zurich Region;Belarus;106;207
2020-01-01;Zurich Region;Bulgaria;252;613
2020-01-01;Zurich Region;Malta;156;377
2020-01-01;Zurich Region;Cyprus;230;472
2020-01-01;Zurich Region;Chile;175;271
2020-01-01;Zurich Region;United States;20484;39652
2020-01-01;Zurich Region;Canada;2343;3828
2020-01-01;Zurich Region;Mexico;910;1510
2020-01-01;Zurich Region;Brazil;3261;7544
2020-01-01;Zurich Region;Argentina;375;808
2020-01-01;Zurich Region;Other South American countries;972;1578
2020-01-01;Zurich Region;Other Central American countries;688;1476
2020-01-01;Zurich Region;Egypt;291;736
2020-01-01;Zurich Region;Other North African countries;199;414
2020-01-01;Zurich Region;South Africa;575;1156
2020-01-01;Zurich Region;Other African countries;534;1174
2020-01-01;Zurich Region;Bahrain;50;106
2020-01-01;Zurich Region;Israel;1326;2793
2020-01-01;Zurich Region;India;3042;6879
2020-01-01;Zurich Region;Japan;1908;3591
2020-01-01;Zurich Region;Other South-East Asian countries;1487;2516
2020-01-01;Zurich Region;Qatar;789;1246
2020-01-01;Zurich Region;Kuwait;136;405
2020-01-01;Zurich Region;Australia;4086;7593
2020-01-01;Zurich Region;China;8473;12630
2020-01-01;Zurich Region;Hong Kong;1558;2808
2020-01-01;Zurich Region;Indonesia;1633;2975
2020-01-01;Zurich Region;South Korea;1579;2525
2020-01-01;Zurich Region;Malaysia;674;1175
2020-01-01;Zurich Region;Philippines;213;546
2020-01-01;Zurich Region;New Zealand, Oceania;510;816
2020-01-01;Zurich Region;Singapore;2172;3651
2020-01-01;Zurich Region;Oman;382;511
2020-01-01;Zurich Region;Taiwan (Chinese Taipei);860;1359
2020-01-01;Zurich Region;Thailand;1409;2121
2020-01-01;Zurich Region;Other West Asian countries;499;1084
2020-01-01;Zurich Region;Estonia;83;180
2020-01-01;Zurich Region;Latvia;137;265
2020-01-01;Zurich Region;Lithuania;146;261
2020-01-01;Zurich Region;Saudi Arabia;507;1319
2020-01-01;Zurich Region;United Arab Emirates;2282;3928
2020-01-01;Zurich Region;Croatia;304;657
2020-01-01;Zurich Region;Romania;713;1687
2020-01-01;Zurich Region;Russia;3880;7494
2020-01-01;Zurich Region;Slovakia;354;900
2020-01-01;Zurich Region;Slovenia;305;559
2020-01-01;Zurich Region;Czechia;870;1530
2020-01-01;Zurich Region;Ukraine;880;1434
2020-01-01;Zurich Region;Serbia;371;748
2020-01-01;Lucerne / Lake Lucerne;Switzerland;66891;124413
2020-01-01;Lucerne / Lake Lucerne;Germany;9920;22714
2020-01-01;Lucerne / Lake Lucerne;France;2255;4495
2020-01-01;Lucerne / Lake Lucerne;Italy;2435;4657
2020-01-01;Lucerne / Lake Lucerne;Austria;947;1900
2020-01-01;Lucerne / Lake Lucerne;United Kingdom;2307;5994
2020-01-01;Lucerne / Lake Lucerne;Irland;118;291
2020-01-01;Lucerne / Lake Lucerne;Netherlands;1021;2319
2020-01-01;Lucerne / Lake Lucerne;Belgium;593;1427
2020-01-01;Lucerne / Lake Lucerne;Luxembourg;327;771
2020-01-01;Lucerne / Lake Lucerne;Denmark;205;665
2020-01-01;Lucerne / Lake Lucerne;Sweden;910;2765
2020-01-01;Lucerne / Lake Lucerne;Norway;200;532
2020-01-01;Lucerne / Lake Lucerne;Finland;123;334
2020-01-01;Lucerne / Lake Lucerne;Spain;557;1220
2020-01-01;Lucerne / Lake Lucerne;Portugal;191;476
2020-01-01;Lucerne / Lake Lucerne;Greece;95;228
2020-01-01;Lucerne / Lake Lucerne;Turkey;221;432
2020-01-01;Lucerne / Lake Lucerne;Other European countries;140;604
2020-01-01;Lucerne / Lake Lucerne;Liechtenstein;71;97
2020-01-01;Lucerne / Lake Lucerne;Iceland;61;307
2020-01-01;Lucerne / Lake Lucerne;Poland;221;752
2020-01-01;Lucerne / Lake Lucerne;Hungary;115;552
2020-01-01;Lucerne / Lake Lucerne;Belarus;26;101
2020-01-01;Lucerne / Lake Lucerne;Bulgaria;55;144
2020-01-01;Lucerne / Lake Lucerne;Malta;32;96
2020-01-01;Lucerne / Lake Lucerne;Cyprus;17;51
2020-01-01;Lucerne / Lake Lucerne;Chile;18;22
2020-01-01;Lucerne / Lake Lucerne;United States;3417;7632
2020-01-01;Lucerne / Lake Lucerne;Canada;294;665
2020-01-01;Lucerne / Lake Lucerne;Mexico;184;355
2020-01-01;Lucerne / Lake Lucerne;Brazil;1103;2454
2020-01-01;Lucerne / Lake Lucerne;Argentina;91;147
2020-01-01;Lucerne / Lake Lucerne;Other South American countries;166;259
2020-01-01;Lucerne / Lake Lucerne;Other Central American countries;107;203
2020-01-01;Lucerne / Lake Lucerne;Egypt;26;71
2020-01-01;Lucerne / Lake Lucerne;Other North African countries;17;62
2020-01-01;Lucerne / Lake Lucerne;South Africa;138;318
2020-01-01;Lucerne / Lake Lucerne;Other African countries;69;200
2020-01-01;Lucerne / Lake Lucerne;Bahrain;20;47
2020-01-01;Lucerne / Lake Lucerne;Israel;272;828
2020-01-01;Lucerne / Lake Lucerne;India;641;1468
2020-01-01;Lucerne / Lake Lucerne;Japan;650;815
2020-01-01;Lucerne / Lake Lucerne;Other South-East Asian countries;757;1023
2020-01-01;Lucerne / Lake Lucerne;Qatar;123;600
2020-01-01;Lucerne / Lake Lucerne;Kuwait;61;185
2020-01-01;Lucerne / Lake Lucerne;Australia;2363;4647
2020-01-01;Lucerne / Lake Lucerne;China;16846;20258
2020-01-01;Lucerne / Lake Lucerne;Hong Kong;1355;1746
2020-01-01;Lucerne / Lake Lucerne;Indonesia;586;909
2020-01-01;Lucerne / Lake Lucerne;South Korea;2201;3021
2020-01-01;Lucerne / Lake Lucerne;Malaysia;542;904
2020-01-01;Lucerne / Lake Lucerne;Philippines;110;160
2020-01-01;Lucerne / Lake Lucerne;New Zealand, Oceania;171;321
2020-01-01;Lucerne / Lake Lucerne;Singapore;734;1357
2020-01-01;Lucerne / Lake Lucerne;Oman;28;65
2020-01-01;Lucerne / Lake Lucerne;Taiwan (Chinese Taipei);1494;1747
2020-01-01;Lucerne / Lake Lucerne;Thailand;897;4073
2020-01-01;Lucerne / Lake Lucerne;Other West Asian countries;44;133
2020-01-01;Lucerne / Lake Lucerne;Estonia;28;94
2020-01-01;Lucerne / Lake Lucerne;Latvia;42;90
2020-01-01;Lucerne / Lake Lucerne;Lithuania;26;63
2020-01-01;Lucerne / Lake Lucerne;Saudi Arabia;198;481
2020-01-01;Lucerne / Lake Lucerne;United Arab Emirates;261;883
2020-01-01;Lucerne / Lake Lucerne;Croatia;66;174
2020-01-01;Lucerne / Lake Lucerne;Romania;149;381
2020-01-01;Lucerne / Lake Lucerne;Russia;874;2275
2020-01-01;Lucerne / Lake Lucerne;Slovakia;60;246
2020-01-01;Lucerne / Lake Lucerne;Slovenia;32;54
2020-01-01;Lucerne / Lake Lucerne;Czechia;140;294
2020-01-01;Lucerne / Lake Lucerne;Ukraine;136;396
2020-01-01;Lucerne / Lake Lucerne;Serbia;37;69
2020-01-01;Basel Region;Switzerland;26047;48106
2020-01-01;Basel Region;Germany;8801;15642
2020-01-01;Basel Region;France;2569;4097
2020-01-01;Basel Region;Italy;1564;2898
2020-01-01;Basel Region;Austria;752;1587
2020-01-01;Basel Region;United Kingdom;2949;5766
2020-01-01;Basel Region;Irland;335;762
2020-01-01;Basel Region;Netherlands;1526;2205
2020-01-01;Basel Region;Belgium;681;1120
2020-01-01;Basel Region;Luxembourg;191;267
2020-01-01;Basel Region;Denmark;324;539
2020-01-01;Basel Region;Sweden;252;485
2020-01-01;Basel Region;Norway;77;115
2020-01-01;Basel Region;Finland;90;159
2020-01-01;Basel Region;Spain;1100;2267
2020-01-01;Basel Region;Portugal;239;444
2020-01-01;Basel Region;Greece;91;242
2020-01-01;Basel Region;Turkey;415;748
2020-01-01;Basel Region;Other European countries;165;307
2020-01-01;Basel Region;Liechtenstein;46;81
2020-01-01;Basel Region;Iceland;11;26
2020-01-01;Basel Region;Poland;430;1041
2020-01-01;Basel Region;Hungary;196;476
2020-01-01;Basel Region;Belarus;22;33
2020-01-01;Basel Region;Bulgaria;49;129
2020-01-01;Basel Region;Malta;4;4
2020-01-01;Basel Region;Cyprus;36;94
2020-01-01;Basel Region;Chile;12;33
2020-01-01;Basel Region;United States;2635;7386
2020-01-01;Basel Region;Canada;171;456
2020-01-01;Basel Region;Mexico;68;163
2020-01-01;Basel Region;Brazil;258;780
2020-01-01;Basel Region;Argentina;45;141
2020-01-01;Basel Region;Other South American countries;47;140
2020-01-01;Basel Region;Other Central American countries;79;174
2020-01-01;Basel Region;Egypt;44;110
2020-01-01;Basel Region;Other North African countries;103;151
2020-01-01;Basel Region;South Africa;78;184
2020-01-01;Basel Region;Other African countries;50;152
2020-01-01;Basel Region;Bahrain;8;22
2020-01-01;Basel Region;Israel;144;293
2020-01-01;Basel Region;India;288;1285
2020-01-01;Basel Region;Japan;204;419
2020-01-01;Basel Region;Other South-East Asian countries;76;175
2020-01-01;Basel Region;Qatar;27;135
2020-01-01;Basel Region;Kuwait;5;14
2020-01-01;Basel Region;Australia;234;572
2020-01-01;Basel Region;China;435;787
2020-01-01;Basel Region;Hong Kong;90;179
2020-01-01;Basel Region;Indonesia;28;92
2020-01-01;Basel Region;South Korea;256;362
2020-01-01;Basel Region;Malaysia;80;214
2020-01-01;Basel Region;Philippines;24;45
2020-01-01;Basel Region;New Zealand, Oceania;28;70
2020-01-01;Basel Region;Singapore;88;259
2020-01-01;Basel Region;Oman;6;6
2020-01-01;Basel Region;Taiwan (Chinese Taipei);68;87
2020-01-01;Basel Region;Thailand;96;146
2020-01-01;Basel Region;Other West Asian countries;57;145
2020-01-01;Basel Region;Estonia;10;17
2020-01-01;Basel Region;Latvia;13;29
2020-01-01;Basel Region;Lithuania;30;75
2020-01-01;Basel Region;Saudi Arabia;45;164
2020-01-01;Basel Region;United Arab Emirates;82;183
2020-01-01;Basel Region;Croatia;44;95
2020-01-01;Basel Region;Romania;194;443
2020-01-01;Basel Region;Russia;245;520
2020-01-01;Basel Region;Slovakia;67;145
2020-01-01;Basel Region;Slovenia;98;262
2020-01-01;Basel Region;Czechia;232;619
2020-01-01;Basel Region;Ukraine;84;195
2020-01-01;Basel Region;Serbia;75;156
2020-01-01;Bern Region;Switzerland;98668;198994
2020-01-01;Bern Region;Germany;12986;36251
2020-01-01;Bern Region;France;3674;8266
2020-01-01;Bern Region;Italy;2279;5053
2020-01-01;Bern Region;Austria;953;2221
2020-01-01;Bern Region;United Kingdom;5961;21831
2020-01-01;Bern Region;Irland;209;635
2020-01-01;Bern Region;Netherlands;2454;7687
2020-01-01;Bern Region;Belgium;1970;9159
2020-01-01;Bern Region;Luxembourg;531;1780
2020-01-01;Bern Region;Denmark;228;637
2020-01-01;Bern Region;Sweden;421;1157
2020-01-01;Bern Region;Norway;314;959
2020-01-01;Bern Region;Finland;207;515
2020-01-01;Bern Region;Spain;994;2316
2020-01-01;Bern Region;Portugal;250;555
2020-01-01;Bern Region;Greece;190;738
2020-01-01;Bern Region;Turkey;320;904
2020-01-01;Bern Region;Other European countries;239;596
2020-01-01;Bern Region;Liechtenstein;93;179
2020-01-01;Bern Region;Iceland;13;29
2020-01-01;Bern Region;Poland;450;1768
2020-01-01;Bern Region;Hungary;146;290
2020-01-01;Bern Region;Belarus;22;42
2020-01-01;Bern Region;Bulgaria;104;278
2020-01-01;Bern Region;Malta;30;77
2020-01-01;Bern Region;Cyprus;49;151
2020-01-01;Bern Region;Chile;42;94
2020-01-01;Bern Region;United States;3997;11130
2020-01-01;Bern Region;Canada;403;1245
2020-01-01;Bern Region;Mexico;248;491
2020-01-01;Bern Region;Brazil;1335;3409
2020-01-01;Bern Region;Argentina;151;301
2020-01-01;Bern Region;Other South American countries;209;459
2020-01-01;Bern Region;Other Central American countries;942;1347
2020-01-01;Bern Region;Egypt;53;224
2020-01-01;Bern Region;Other North African countries;43;117
2020-01-01;Bern Region;South Africa;199;637
2020-01-01;Bern Region;Other African countries;92;264
2020-01-01;Bern Region;Bahrain;18;66
2020-01-01;Bern Region;Israel;282;747
2020-01-01;Bern Region;India;898;2010
2020-01-01;Bern Region;Japan;1097;1839
2020-01-01;Bern Region;Other South-East Asian countries;357;773
2020-01-01;Bern Region;Qatar;119;273
2020-01-01;Bern Region;Kuwait;110;346
2020-01-01;Bern Region;Australia;1471;4071
2020-01-01;Bern Region;China;15451;20656
2020-01-01;Bern Region;Hong Kong;766;1340
2020-01-01;Bern Region;Indonesia;345;687
2020-01-01;Bern Region;South Korea;9163;13833
2020-01-01;Bern Region;Malaysia;628;1163
2020-01-01;Bern Region;Philippines;491;1158
2020-01-01;Bern Region;New Zealand, Oceania;111;343
2020-01-01;Bern Region;Singapore;614;1549
2020-01-01;Bern Region;Oman;308;807
2020-01-01;Bern Region;Taiwan (Chinese Taipei);1299;1737
2020-01-01;Bern Region;Thailand;1228;1884
2020-01-01;Bern Region;Other West Asian countries;162;385
2020-01-01;Bern Region;Estonia;65;194
2020-01-01;Bern Region;Latvia;46;124
2020-01-01;Bern Region;Lithuania;27;72
2020-01-01;Bern Region;Saudi Arabia;657;2069
2020-01-01;Bern Region;United Arab Emirates;425;1034
2020-01-01;Bern Region;Croatia;74;221
2020-01-01;Bern Region;Romania;207;604
2020-01-01;Bern Region;Russia;1003;3750
2020-01-01;Bern Region;Slovakia;113;310
2020-01-01;Bern Region;Slovenia;80;232
2020-01-01;Bern Region;Czechia;177;431
2020-01-01;Bern Region;Ukraine;209;634
2020-01-01;Bern Region;Serbia;24;111
2020-01-01;Jura & Three-Lakes;Switzerland;9820;15859
2020-01-01;Jura & Three-Lakes;Germany;1173;2239
2020-01-01;Jura & Three-Lakes;France;1712;2993
2020-01-01;Jura & Three-Lakes;Italy;550;1249
2020-01-01;Jura & Three-Lakes;Austria;141;271
2020-01-01;Jura & Three-Lakes;United Kingdom;200;416
2020-01-01;Jura & Three-Lakes;Irland;39;93
2020-01-01;Jura & Three-Lakes;Netherlands;103;197
2020-01-01;Jura & Three-Lakes;Belgium;138;234
2020-01-01;Jura & Three-Lakes;Luxembourg;18;22
2020-01-01;Jura & Three-Lakes;Denmark;51;143
2020-01-01;Jura & Three-Lakes;Sweden;24;48
2020-01-01;Jura & Three-Lakes;Norway;3;5
2020-01-01;Jura & Three-Lakes;Finland;7;12
2020-01-01;Jura & Three-Lakes;Spain;138;346
2020-01-01;Jura & Three-Lakes;Portugal;95;234
2020-01-01;Jura & Three-Lakes;Greece;45;121
2020-01-01;Jura & Three-Lakes;Turkey;24;50
2020-01-01;Jura & Three-Lakes;Other European countries;142;198
2020-01-01;Jura & Three-Lakes;Liechtenstein;15;18
2020-01-01;Jura & Three-Lakes;Poland;62;133
2020-01-01;Jura & Three-Lakes;Hungary;23;43
2020-01-01;Jura & Three-Lakes;Bulgaria;9;88
2020-01-01;Jura & Three-Lakes;Chile;4;22
2020-01-01;Jura & Three-Lakes;United States;267;673
2020-01-01;Jura & Three-Lakes;Canada;33;54
2020-01-01;Jura & Three-Lakes;Mexico;8;13
2020-01-01;Jura & Three-Lakes;Brazil;15;33
2020-01-01;Jura & Three-Lakes;Argentina;7;16
2020-01-01;Jura & Three-Lakes;Other South American countries;4;22
2020-01-01;Jura & Three-Lakes;Other Central American countries;8;14
2020-01-01;Jura & Three-Lakes;Other North African countries;6;59
2020-01-01;Jura & Three-Lakes;Other African countries;22;31
2020-01-01;Jura & Three-Lakes;Bahrain;2;2
2020-01-01;Jura & Three-Lakes;Israel;27;51
2020-01-01;Jura & Three-Lakes;India;38;153
2020-01-01;Jura & Three-Lakes;Japan;57;138
2020-01-01;Jura & Three-Lakes;Other South-East Asian countries;10;24
2020-01-01;Jura & Three-Lakes;Qatar;3;10
2020-01-01;Jura & Three-Lakes;Australia;13;27
2020-01-01;Jura & Three-Lakes;China;64;170
2020-01-01;Jura & Three-Lakes;Hong Kong;3;10
2020-01-01;Jura & Three-Lakes;Indonesia;1;4
2020-01-01;Jura & Three-Lakes;South Korea;25;86
2020-01-01;Jura & Three-Lakes;Malaysia;3;28
2020-01-01;Jura & Three-Lakes;Philippines;1;2
2020-01-01;Jura & Three-Lakes;New Zealand, Oceania;9;13
2020-01-01;Jura & Three-Lakes;Singapore;14;37
2020-01-01;Jura & Three-Lakes;Taiwan (Chinese Taipei);43;80
2020-01-01;Jura & Three-Lakes;Thailand;54;56
2020-01-01;Jura & Three-Lakes;Other West Asian countries;15;23
2020-01-01;Jura & Three-Lakes;Estonia;1;1
2020-01-01;Jura & Three-Lakes;Latvia;2;10
2020-01-01;Jura & Three-Lakes;Lithuania;6;16
2020-01-01;Jura & Three-Lakes;Saudi Arabia;11;26
2020-01-01;Jura & Three-Lakes;United Arab Emirates;14;34
2020-01-01;Jura & Three-Lakes;Croatia;3;3
2020-01-01;Jura & Three-Lakes;Romania;37;694
2020-01-01;Jura & Three-Lakes;Russia;21;60
2020-01-01;Jura & Three-Lakes;Slovakia;5;36
2020-01-01;Jura & Three-Lakes;Slovenia;12;15
2020-01-01;Jura & Three-Lakes;Czechia;21;56
2020-01-01;Jura & Three-Lakes;Ukraine;23;52
2020-01-01;Jura & Three-Lakes;Serbia;8;9
2020-01-01;Vaud;Switzerland;48110;101563
2020-01-01;Vaud;Germany;3610;8541
2020-01-01;Vaud;France;9856;17374
2020-01-01;Vaud;Italy;2465;5106
2020-01-01;Vaud;Austria;388;906
2020-01-01;Vaud;United Kingdom;3155;7291
2020-01-01;Vaud;Irland;209;679
2020-01-01;Vaud;Netherlands;940;1979
2020-01-01;Vaud;Belgium;2448;10781
2020-01-01;Vaud;Luxembourg;210;476
2020-01-01;Vaud;Denmark;256;640
2020-01-01;Vaud;Sweden;356;934
2020-01-01;Vaud;Norway;170;557
2020-01-01;Vaud;Finland;187;534
2020-01-01;Vaud;Spain;1059;2985
2020-01-01;Vaud;Portugal;509;1231
2020-01-01;Vaud;Greece;324;974
2020-01-01;Vaud;Turkey;194;562
2020-01-01;Vaud;Other European countries;258;590
2020-01-01;Vaud;Liechtenstein;39;99
2020-01-01;Vaud;Iceland;17;55
2020-01-01;Vaud;Poland;353;1004
2020-01-01;Vaud;Hungary;169;562
2020-01-01;Vaud;Belarus;31;104
2020-01-01;Vaud;Bulgaria;81;339
2020-01-01;Vaud;Malta;13;38
2020-01-01;Vaud;Cyprus;38;79
2020-01-01;Vaud;Chile;32;172
2020-01-01;Vaud;United States;2702;7380
2020-01-01;Vaud;Canada;434;1564
2020-01-01;Vaud;Mexico;192;644
2020-01-01;Vaud;Brazil;679;1988
2020-01-01;Vaud;Argentina;77;280
2020-01-01;Vaud;Other South American countries;139;544
2020-01-01;Vaud;Other Central American countries;158;481
2020-01-01;Vaud;Egypt;61;275
2020-01-01;Vaud;Other North African countries;167;577
2020-01-01;Vaud;South Africa;102;271
2020-01-01;Vaud;Other African countries;302;1388
2020-01-01;Vaud;Bahrain;15;59
2020-01-01;Vaud;Israel;145;336
2020-01-01;Vaud;India;346;1110
2020-01-01;Vaud;Japan;389;1231
2020-01-01;Vaud;Other South-East Asian countries;261;752
2020-01-01;Vaud;Qatar;60;289
2020-01-01;Vaud;Kuwait;99;381
2020-01-01;Vaud;Australia;550;1466
2020-01-01;Vaud;China;3241;5503
2020-01-01;Vaud;Hong Kong;216;392
2020-01-01;Vaud;Indonesia;57;129
2020-01-01;Vaud;South Korea;301;891
