MONTH;REGION;COUNTRYOFRESIDENCE;ARRIVALS;HOTELNIGHTS
2020-01-01;Graubünden;Switzerland;148179;422719
2020-01-01;Graubünden;Germany;24223;102857
2020-01-01;Graubünden;France;1655;6039
2020-01-01;Graubünden;Italy;5438;15018
2020-01-01;Graubünden;Austria;1406;4204
2020-01-01;Graubünden;United Kingdom;4738;21193
2020-01-01;Graubünden;Irland;102;453
2020-01-01;Graubünden;Netherlands;2129;8492
2020-01-01;Graubünden;Belgium;949;5151
2020-01-01;Graubünden;Luxembourg;462;2767
2020-01-01;Graubünden;Denmark;252;1054
2020-01-01;Graubünden;Sweden;623;2258
2020-01-01;Graubünden;Norway;407;1220
2020-01-01;Graubünden;Finland;190;731
2020-01-01;Graubünden;Spain;536;1869
2020-01-01;Graubünden;Portugal;157;459
2020-01-01;Graubünden;Greece;262;1155
2020-01-01;Graubünden;Turkey;788;3895
2020-01-01;Graubünden;Other European countries;279;1221
2020-01-01;Graubünden;Liechtenstein;366;891
2020-01-01;Graubünden;Iceland;32;91
2020-01-01;Graubünden;Poland;1176;6687
2020-01-01;Graubünden;Hungary;78;301
2020-01-01;Graubünden;Belarus;63;413
2020-01-01;Graubünden;Bulgaria;104;552
2020-01-01;Graubünden;Malta;16;113
2020-01-01;Graubünden;Cyprus;45;251
2020-01-01;Graubünden;Chile;30;52
2020-01-01;Graubünden;United States;4506;17337
2020-01-01;Graubünden;Canada;492;2149
2020-01-01;Graubünden;Mexico;124;512
2020-01-01;Graubünden;Brazil;1447;6603
2020-01-01;Graubünden;Argentina;150;702
2020-01-01;Graubünden;Other South American countries;141;567
2020-01-01;Graubünden;Other Central American countries;256;1951
2020-01-01;Graubünden;Egypt;34;106
2020-01-01;Graubünden;Other North African countries;11;30
2020-01-01;Graubünden;South Africa;176;857
2020-01-01;Graubünden;Other African countries;188;579
2020-01-01;Graubünden;Bahrain;27;95
2020-01-01;Graubünden;Israel;472;2005
2020-01-01;Graubünden;India;331;1040
2020-01-01;Graubünden;Japan;425;1166
2020-01-01;Graubünden;Other South-East Asian countries;224;1075
2020-01-01;Graubünden;Qatar;68;228
2020-01-01;Graubünden;Kuwait;54;154
2020-01-01;Graubünden;Australia;1073;4094
2020-01-01;Graubünden;China;1365;3658
2020-01-01;Graubünden;Hong Kong;397;1177
2020-01-01;Graubünden;Indonesia;116;323
2020-01-01;Graubünden;South Korea;187;863
2020-01-01;Graubünden;Malaysia;96;172
2020-01-01;Graubünden;Philippines;45;123
2020-01-01;Graubünden;New Zealand, Oceania;85;337
2020-01-01;Graubünden;Singapore;238;813
2020-01-01;Graubünden;Oman;25;95
2020-01-01;Graubünden;Taiwan (Chinese Taipei);120;249
2020-01-01;Graubünden;Thailand;146;295
2020-01-01;Graubünden;Other West Asian countries;122;613
2020-01-01;Graubünden;Estonia;53;149
2020-01-01;Graubünden;Latvia;93;450
2020-01-01;Graubünden;Lithuania;96;443
2020-01-01;Graubünden;Saudi Arabia;309;1406
2020-01-01;Graubünden;United Arab Emirates;224;964
2020-01-01;Graubünden;Croatia;72;263
2020-01-01;Graubünden;Romania;294;1351
2020-01-01;Graubünden;Russia;2303;14096
2020-01-01;Graubünden;Slovakia;184;790
2020-01-01;Graubünden;Slovenia;130;550
2020-01-01;Graubünden;Czechia;596;2294
2020-01-01;Graubünden;Ukraine;739;3432
2020-01-01;Graubünden;Serbia;46;187
2020-01-01;Eastern Switzerland;Switzerland;39355;83137
2020-01-01;Eastern Switzerland;Germany;7727;17259
2020-01-01;Eastern Switzerland;France;662;1212
2020-01-01;Eastern Switzerland;Italy;997;2642
2020-01-01;Eastern Switzerland;Austria;904;2049
2020-01-01;Eastern Switzerland;United Kingdom;619;1505
2020-01-01;Eastern Switzerland;Irland;85;335
2020-01-01;Eastern Switzerland;Netherlands;397;824
2020-01-01;Eastern Switzerland;Belgium;175;361
2020-01-01;Eastern Switzerland;Luxembourg;39;143
2020-01-01;Eastern Switzerland;Denmark;104;203
2020-01-01;Eastern Switzerland;Sweden;106;218
2020-01-01;Eastern Switzerland;Norway;42;103
2020-01-01;Eastern Switzerland;Finland;42;84
2020-01-01;Eastern Switzerland;Spain;190;473
2020-01-01;Eastern Switzerland;Portugal;65;238
2020-01-01;Eastern Switzerland;Greece;45;75
2020-01-01;Eastern Switzerland;Turkey;68;158
2020-01-01;Eastern Switzerland;Other European countries;64;167
2020-01-01;Eastern Switzerland;Liechtenstein;136;224
2020-01-01;Eastern Switzerland;Iceland;5;15
2020-01-01;Eastern Switzerland;Poland;157;624
2020-01-01;Eastern Switzerland;Hungary;77;256
2020-01-01;Eastern Switzerland;Belarus;7;9
2020-01-01;Eastern Switzerland;Bulgaria;26;50
2020-01-01;Eastern Switzerland;Malta;12;18
2020-01-01;Eastern Switzerland;Cyprus;0;12
2020-01-01;Eastern Switzerland;Chile;2;17
2020-01-01;Eastern Switzerland;United States;604;2091
2020-01-01;Eastern Switzerland;Canada;46;212
2020-01-01;Eastern Switzerland;Mexico;19;46
2020-01-01;Eastern Switzerland;Brazil;68;225
2020-01-01;Eastern Switzerland;Argentina;6;6
2020-01-01;Eastern Switzerland;Other South American countries;13;47
2020-01-01;Eastern Switzerland;Other Central American countries;35;99
